service_area,baseline_observations,unique_adults,observed_ssi,expected_ssi,expected_lower,expected_upper,range_result,absolute_goal,goal_result,sustained_exit_12m_n,sustained_exit_12m_observed,sustained_exit_12m_expected,employed_3y_n,employed_3y_observed,employed_3y_expected,returned_cash_3y_n,returned_cash_3y_observed,returned_cash_3y_expected,earnings_3y_observed,earnings_3y_expected
Demo Area 01,1744,1744,0.4288990825688073,0.32521632576823056,0.3033256880733945,0.3474770642201835,Above,0.7,Below,1744,0.27924311926605505,0.19106450621462326,1744,0.4724770642201835,0.3842421040973041,487,0.2792607802874743,0.37486919447964145,1751.8349957553714,1375.5798150313994
Demo Area 02,1730,1730,0.3809248554913295,0.3234711043033787,0.3023121387283237,0.34335260115606936,Above,0.7,Below,1730,0.2375722543352601,0.1898040092343316,1730,0.4352601156069364,0.38293071773783793,411,0.34793187347931875,0.3699792477141996,1645.3192016247876,1367.1136843142547
Demo Area 03,1646,1646,0.3183475091130012,0.32588483640062776,0.3037667071688943,0.3469015795868773,Within,0.7,Below,1646,0.18165249088699878,0.1924687394848409,1646,0.3645200486026732,0.3857658895143702,299,0.3277591973244147,0.3621898363218696,1285.3608602882175,1374.2232440862203
Demo Area 04,1660,1660,0.4,0.32014014980998434,0.29819277108433734,0.3421686746987952,Above,0.7,Below,1660,0.24096385542168675,0.18726430909401864,1660,0.41927710843373495,0.37987281139987783,400,0.365,0.3685766194470699,1515.6980268838895,1342.2492801349886
Demo Area 05,1640,1640,0.2603658536585366,0.31817801936500567,0.2969512195121951,0.3402439024390244,Below,0.7,Below,1640,0.15914634146341464,0.18536311390751029,1640,0.34817073170731705,0.3783183284831152,261,0.367816091954023,0.3605726752337727,1187.3105812237934,1332.5432057475075
Demo Area 06,1703,1703,0.35231943628890194,0.31864477010981096,0.29712272460364064,0.34029653552554323,Above,0.7,Below,1703,0.21374045801526717,0.18554054179752263,1703,0.38461538461538464,0.37934400972344523,364,0.3516483516483517,0.3611287002216077,1390.4514256830776,1329.9926343749896
Demo Area 07,1650,1650,0.3406060606060606,0.323177335558327,0.3006060606060606,0.34484848484848485,Within,0.7,Below,1650,0.20727272727272728,0.19161287857985887,1650,0.41393939393939394,0.3837031434816407,342,0.3216374269005848,0.35815356141953697,1453.9484600676524,1346.2004214606302
Demo Area 08,1589,1589,0.2548772813089994,0.3180995378903952,0.29641283826305853,0.3398363750786658,Below,0.7,Below,1589,0.1485210824417873,0.18541256618651858,1589,0.34675896790434235,0.37919232025204214,236,0.3855932203389831,0.3515154908827411,1157.0076219120856,1319.9558490085526
Demo Area 09,1766,1766,0.36919592298980747,0.31728801664339124,0.29614949037372595,0.33748584371460927,Above,0.7,Below,1766,0.25424688561721404,0.1859002380961424,1766,0.4161947904869762,0.3785429503677813,449,0.36080178173719374,0.356802333366655,1541.289323946651,1313.3894826186881
Demo Area 10,1742,1742,0.24052812858783007,0.316145641604014,0.2941877152698048,0.3375430539609644,Below,0.7,Below,1742,0.12169919632606199,0.18363266646923107,1742,0.3019517795637199,0.3777339266350451,212,0.4669811320754717,0.35180113527499696,1000.5128277517423,1304.6719560883769
Demo Area 11,1727,1727,0.23451071221771858,0.3170855934612418,0.29530978575564565,0.33904169079328317,Below,0.7,Below,1727,0.10480602200347423,0.18605904417996166,1727,0.29936305732484075,0.37902859272897843,181,0.43646408839779005,0.3463590280777864,902.967811407965,1307.712899055468
Demo Area 12,1573,1573,0.28862047043865224,0.31384890414114874,0.291163382072473,0.336935791481246,Below,0.7,Below,1573,0.16083916083916083,0.1821529042328599,1573,0.38016528925619836,0.37584846036954567,253,0.3438735177865613,0.3542033265995151,1341.2479036877226,1287.5202407689524
