adult_id,service_area,cohort_year,cohort_quarter,age,education_years,two_adult,months_mfip,unemployment_rate,childcare_slots_per_100,ssi_success_3y,sustained_exit_12m,employed_3y,earnings_3y,returned_cash_3y
synthetic-2018-1-0-0,Demo Area 01,2018,1,45,10,1,11,0.039467998963805755,19.989159367162806,1,0,1,2394.680764684959,
synthetic-2018-1-0-1,Demo Area 01,2018,1,35,12,0,43,0.0388382952374217,12.428307314588523,1,0,0,0.0,
synthetic-2018-1-0-2,Demo Area 01,2018,1,30,15,0,35,0.030738927981672545,23.09954981752718,0,1,0,0.0,0.0
synthetic-2018-1-0-3,Demo Area 01,2018,1,18,12,1,20,0.04167133751657303,25.11562075674186,1,0,0,0.0,
synthetic-2018-1-0-4,Demo Area 01,2018,1,34,11,0,36,0.04484897901357928,20.220881366460887,0,0,1,3452.612197453808,
synthetic-2018-1-0-5,Demo Area 01,2018,1,18,10,0,17,0.03485773737539432,24.081670183705704,0,0,0,0.0,
synthetic-2018-1-0-6,Demo Area 01,2018,1,54,15,1,5,0.0310658104434997,19.161230888215034,1,1,1,2908.162198553999,1.0
synthetic-2018-1-0-7,Demo Area 01,2018,1,18,11,0,0,0.04383501734302807,18.85825958083039,0,0,1,6884.550711437165,
synthetic-2018-1-0-8,Demo Area 01,2018,1,36,15,1,45,0.031247288870898567,27.671615429843,0,0,0,0.0,
synthetic-2018-1-0-9,Demo Area 01,2018,1,45,13,0,57,0.023135087256480703,26.85962395302531,0,0,0,0.0,
synthetic-2018-1-0-10,Demo Area 01,2018,1,41,12,0,50,0.03452874018664025,30.43550998134134,0,0,0,0.0,
synthetic-2018-1-0-11,Demo Area 01,2018,1,30,12,0,60,0.04175312762637933,19.678808739289448,0,1,0,0.0,0.0
synthetic-2018-1-0-12,Demo Area 01,2018,1,35,13,0,9,0.0331921484284328,21.94574663134581,1,0,1,2586.163609832334,
synthetic-2018-1-0-13,Demo Area 01,2018,1,40,13,0,12,0.04096490494528124,25.7561901705257,0,0,0,0.0,
synthetic-2018-1-0-14,Demo Area 01,2018,1,48,9,0,56,0.045206389632714984,21.673310768069943,1,0,0,0.0,
synthetic-2018-1-0-15,Demo Area 01,2018,1,35,11,0,51,0.05120030791544326,22.573116345692245,0,0,0,0.0,
synthetic-2018-1-0-16,Demo Area 01,2018,1,29,8,1,13,0.03822250459988077,26.163624956599786,0,0,1,6911.705660812357,
synthetic-2018-1-0-17,Demo Area 01,2018,1,35,11,1,44,0.038237410689989065,15.723757030423517,0,0,1,3720.9993222594194,
synthetic-2018-1-0-18,Demo Area 01,2018,1,23,10,1,1,0.036933779173022124,22.095365613521206,1,1,0,0.0,0.0
synthetic-2018-1-0-19,Demo Area 01,2018,1,38,15,0,64,0.042385553552420935,31.050464534957936,0,0,0,0.0,
synthetic-2018-1-0-20,Demo Area 01,2018,1,27,10,0,27,0.033906947606523054,24.970623672810802,0,0,1,1565.1804098993198,
synthetic-2018-1-0-21,Demo Area 01,2018,1,34,15,0,51,0.043677402994493325,18.509437794790724,0,0,1,3720.3365464016265,
synthetic-2018-1-0-22,Demo Area 01,2018,1,27,10,0,61,0.049534771719323786,20.4523796146867,0,0,0,0.0,
synthetic-2018-1-0-23,Demo Area 01,2018,1,27,10,0,3,0.03878833328358773,24.798751442198387,1,0,0,0.0,
synthetic-2018-1-0-24,Demo Area 01,2018,1,29,10,0,35,0.03662295767919056,20.811255284479586,1,0,0,0.0,
synthetic-2018-1-0-25,Demo Area 01,2018,1,25,12,0,34,0.04371287498122623,14.08037397324743,1,0,1,5984.375779273872,
synthetic-2018-1-0-26,Demo Area 01,2018,1,41,9,1,46,0.039652110159964754,21.907904276232983,0,1,1,4194.713718442198,1.0
synthetic-2018-1-0-27,Demo Area 01,2018,1,40,12,0,37,0.04098255569202248,16.53958477783294,1,1,0,0.0,0.0
synthetic-2018-1-0-28,Demo Area 01,2018,1,18,15,0,19,0.034150961150657855,9.52539077725094,1,1,1,4490.564123728555,0.0
synthetic-2018-1-0-29,Demo Area 01,2018,1,32,11,0,2,0.04278573733553489,25.26065703365667,1,1,0,0.0,0.0
synthetic-2018-1-0-30,Demo Area 01,2018,1,18,13,0,20,0.041349898804429415,27.182637220717147,0,0,0,0.0,
synthetic-2018-1-0-31,Demo Area 01,2018,1,27,9,1,32,0.041980638626696445,24.780617912787207,0,0,0,0.0,
synthetic-2018-1-0-32,Demo Area 01,2018,1,52,9,0,12,0.046701675687745595,23.268121236766945,1,0,0,0.0,
synthetic-2018-1-0-33,Demo Area 01,2018,1,34,12,1,19,0.045970813921698425,17.354947305243282,1,1,0,0.0,0.0
synthetic-2018-1-0-34,Demo Area 01,2018,1,18,11,0,59,0.047296004012300934,21.46822307774278,1,0,0,0.0,
synthetic-2018-1-0-35,Demo Area 01,2018,1,29,12,0,0,0.04278395227079404,12.648031890157517,1,0,0,0.0,
synthetic-2018-1-0-36,Demo Area 01,2018,1,27,12,0,45,0.04378735524258233,25.141260533867104,1,0,1,6727.886896989364,
synthetic-2018-1-0-37,Demo Area 01,2018,1,38,14,0,60,0.037419965324959,23.776676542492343,1,0,0,0.0,
synthetic-2018-1-0-38,Demo Area 01,2018,1,31,9,0,45,0.03726422494071932,31.717009687691757,0,0,0,0.0,
synthetic-2018-1-0-39,Demo Area 01,2018,1,32,13,1,25,0.04012593807526325,22.724162543345706,1,1,1,4467.62476442189,0.0
synthetic-2018-1-0-40,Demo Area 01,2018,1,32,12,0,41,0.04175204144326337,8.519853429023794,1,1,0,0.0,1.0
synthetic-2018-1-0-41,Demo Area 01,2018,1,24,13,0,38,0.04135791787191159,18.52502763674121,1,0,0,0.0,
synthetic-2018-1-0-42,Demo Area 01,2018,1,39,11,1,21,0.03945389046798929,18.118188786849302,1,1,1,3793.708892962191,0.0
synthetic-2018-1-0-43,Demo Area 01,2018,1,36,13,1,47,0.040920903112065456,29.28916512404328,0,0,1,838.7075956935372,
synthetic-2018-1-0-44,Demo Area 01,2018,1,18,14,0,51,0.038525582405195276,23.773237729353582,1,1,0,0.0,0.0
synthetic-2018-1-0-45,Demo Area 01,2018,1,30,10,0,26,0.03926390821091466,25.02772636818881,1,0,0,0.0,
synthetic-2018-1-0-46,Demo Area 01,2018,1,30,6,1,13,0.038431384437902234,18.047425524113606,0,0,1,2977.5687230957146,
synthetic-2018-1-0-47,Demo Area 01,2018,1,36,14,0,43,0.0349362550310796,11.4557502621694,0,0,0,0.0,
